sno,station_name,district,hour,source_time_period,lambda_rent_hr,lambda_return_hr
500101001,YouBike2.0_捷運科技大樓站,大安區,0,00:00-02:00,5.8,5.75
500101001,YouBike2.0_捷運科技大樓站,大安區,1,00:00-02:00,5.8,5.75
500101001,YouBike2.0_捷運科技大樓站,大安區,2,02:00-04:00,1.07,1.14
500101001,YouBike2.0_捷運科技大樓站,大安區,3,02:00-04:00,1.07,1.14
500101001,YouBike2.0_捷運科技大樓站,大安區,4,04:00-06:00,0.93,3.3
500101001,YouBike2.0_捷運科技大樓站,大安區,5,04:00-06:00,0.93,3.3
500101001,YouBike2.0_捷運科技大樓站,大安區,6,06:00-08:00,25.75,22.59
500101001,YouBike2.0_捷運科技大樓站,大安區,7,06:00-08:00,25.75,22.59
500101001,YouBike2.0_捷運科技大樓站,大安區,8,08:00-10:00,43.18,37.35
500101001,YouBike2.0_捷運科技大樓站,大安區,9,08:00-10:00,43.18,37.35
500101001,YouBike2.0_捷運科技大樓站,大安區,10,10:00-12:00,29.68,25.1
500101001,YouBike2.0_捷運科技大樓站,大安區,11,10:00-12:00,29.68,25.1
500101001,YouBike2.0_捷運科技大樓站,大安區,12,12:00-14:00,35.26,31.04
500101001,YouBike2.0_捷運科技大樓站,大安區,13,12:00-14:00,35.26,31.04
500101001,YouBike2.0_捷運科技大樓站,大安區,14,14:00-16:00,29.96,31.0
500101001,YouBike2.0_捷運科技大樓站,大安區,15,14:00-16:00,29.96,31.0
500101001,YouBike2.0_捷運科技大樓站,大安區,16,16:00-18:00,37.81,44.96
500101001,YouBike2.0_捷運科技大樓站,大安區,17,16:00-18:00,37.81,44.96
500101001,YouBike2.0_捷運科技大樓站,大安區,18,18:00-20:00,41.19,35.04
500101001,YouBike2.0_捷運科技大樓站,大安區,19,18:00-20:00,41.19,35.04
500101001,YouBike2.0_捷運科技大樓站,大安區,20,20:00-22:00,28.78,30.58
500101001,YouBike2.0_捷運科技大樓站,大安區,21,20:00-22:00,28.78,30.58
500101001,YouBike2.0_捷運科技大樓站,大安區,22,22:00-24:00,22.31,19.64
500101001,YouBike2.0_捷運科技大樓站,大安區,23,22:00-24:00,22.31,19.64
500101002,YouBike2.0_復興南路二段273號前,大安區,0,00:00-02:00,3.15,4.14
500101002,YouBike2.0_復興南路二段273號前,大安區,1,00:00-02:00,3.15,4.14
500101002,YouBike2.0_復興南路二段273號前,大安區,2,02:00-04:00,0.66,1.52
500101002,YouBike2.0_復興南路二段273號前,大安區,3,02:00-04:00,0.66,1.52
500101002,YouBike2.0_復興南路二段273號前,大安區,4,04:00-06:00,1.11,1.61
500101002,YouBike2.0_復興南路二段273號前,大安區,5,04:00-06:00,1.11,1.61
500101002,YouBike2.0_復興南路二段273號前,大安區,6,06:00-08:00,7.86,4.39
500101002,YouBike2.0_復興南路二段273號前,大安區,7,06:00-08:00,7.86,4.39
500101002,YouBike2.0_復興南路二段273號前,大安區,8,08:00-10:00,13.78,9.52
500101002,YouBike2.0_復興南路二段273號前,大安區,9,08:00-10:00,13.78,9.52
500101002,YouBike2.0_復興南路二段273號前,大安區,10,10:00-12:00,12.37,9.5
500101002,YouBike2.0_復興南路二段273號前,大安區,11,10:00-12:00,12.37,9.5
500101002,YouBike2.0_復興南路二段273號前,大安區,12,12:00-14:00,15.53,12.5
