origin_station_id,origin_station_name,district,transaction_count
500103009,捷運圓山站(1號出口),中山區,770
500103033,圓山線形公園,中山區,134
500103052,捷運民權西路站(3號出口),中山區,137
500106067,臺北轉運站,中山區,104
500107001,通北街65巷口,中山區,143
500107005,培英公園,中山區,228
500107006,樂群二明水路口,中山區,79
500107007,北安大直街口,中山區,131
500107008,捷運劍南路站(2號出口),中山區,137
500107009,樂群二敬業三路口,中山區,174
500107010,樂群二敬業四路口,中山區,488
500107011,捷運大直站(3號出口),中山區,150
500107012,復興市民路口,中山區,372
500107013,南京遼寧街口,中山區,410
500107014,伊通長安路口,中山區,325
500107016,市民林森路口,中山區,209
500107017,南京新生路口,中山區,248
500107018,一江公園,中山區,151
500107019,松江公園,中山區,187
500107020,新生長春路口,中山區,108
500107021,第二果菜批發市場,中山區,311
500107022,民生建國路口,中山區,265
500107023,興安華城,中山區,635
500107024,捷運中山國中站,中山區,627
500107025,龍江錦州街口,中山區,250
500107027,南京建國路口,中山區,200
500107028,捷運松江南京站(7號出口),中山區,284
500107029,朱崙商場,中山區,421
500107030,中吉公園,中山區,103
500107031,華山公園,中山區,52
500107032,建國北路一段17巷,中山區,157
500107033,江寧公園,中山區,347
500107034,民權龍江路口,中山區,184
500107035,捷運中山國小站(2號出口),中山區,71
500107036,捷運行天宮站(3號出口),中山區,370
500107037,林森農安街口,中山區,174
500107038,捷運中山國小站(4號出口),中山區,152
500107039,農安雙城街口,中山區,120
500107040,新生德惠街口,中山區,144
500107041,民族林森路口,中山區,65
500107043,中山民族路口,中山區,111
500107044,新生高架停車場(林森北路107巷口),中山區,133
500107045,南京林森路口,中山區,373
500107046,仁德公園,中山區,160
500107047,中原公園,中山區,135
500107048,下埤公園,中山區,209
500107049,五常國中,中山區,128
500107050,榮星花園,中山區,325
500107051,民權建國路口,中山區,96
500107052,松江路431巷口,中山區,103
500107053,新喜公園,中山區,172
500107054,吉林路407巷口,中山區,215
500107055,民族松江路口,中山區,46
500107056,林安泰古厝,中山區,251
500107058,渭水八德路口,中山區,121
500107059,捷運中山站(2號出口),中山區,210
500107060,撫順公園,中山區,259
500107061,新生公園,中山區,139
500107062,捷運行天宮站(1號出口),中山區,235
500107063,林森長春路口,中山區,476
500107064,建國農安街口,中山區,99
500107065,松江路77巷口,中山區,77
500107066,建國長安路口,中山區,81
500107068,民權吉林路口,中山區,110
500107069,中山農安街口,中山區,209
500107070,捷運行政大樓,中山區,195
500107071,中吉公園(松江路188巷),中山區,124
500107072,吉林路123巷口,中山區,101
500107075,國立臺北大學(臺北校區),中山區,81
500107076,錦州吉林路口,中山區,210
500107078,永盛公園(民生東路一段23巷),中山區,388
500107079,新生錦州街口,中山區,64
500107080,濱江街199巷口,中山區,278
500107082,濱江果菜市場,中山區,133
500107083,興安合江路口,中山區,62
500107084,復興北路514巷口東側,中山區,128
500107085,台泥大樓,中山區,247
500107086,植福樂群路口,中山區,46
500107087,新興公園,中山區,374
500107088,南京伊通街口,中山區,279
500107089,南京龍江路口,中山區,374
500107090,撫順街41巷(崇德宮前),中山區,153
500107091,臺北市立圖書館大直分館,中山區,141
500107092,捷運大直站(1號出口),中山區,116
500107093,捷運松江南京站(4號出口),中山區,207
500107095,中429公園,中山區,100
500107096,長春路137巷口,中山區,124
500107097,松江民生路口,中山區,108
500107098,松江路132巷口,中山區,48
500107099,長春吉林路口,中山區,148
500107100,長春一江街口,中山區,87
500107101,捷運松江南京站(8號出口),中山區,211
500107102,南京一江街口,中山區,142
500107103,松江長春路口,中山區,112
500107106,新生農安街口,中山區,71
500107107,稻江高級護理家事職業學校,中山區,157
500107108,捷運大直站(3號出口)_1,中山區,91
500107109,樂群二明水路口_1,中山區,63
500107110,民權吉林路口(南側),中山區,149
500107111,長春龍江路口,中山區,140
500107113,建國長春路口(北側),中山區,123
500107114,中山行政中心,中山區,383
500107117,濱江國小游泳池,中山區,81
500107118,林森公園,中山區,108
500107119,中428公園,中山區,68
500107120,復華公園,中山區,128
500107121,新生民族路口(西南側),中山區,65
500107122,捷運南京復興站(1號出口),中山區,261
500107123,八德市場(北側),中山區,49
500107124,龍江朱崙街口,中山區,137
500107125,大直街94巷,中山區,121
500107126,捷運南京復興站(8號出口),中山區,193
500107127,民權建國路口(南側),中山區,58
500107128,林森德惠街口,中山區,250
500107130,新生北路一段62巷口,中山區,54
500107131,新生長春路口(東北側),中山區,55
500107132,捷運劍南路站(1號出口),中山區,109
500107133,樂群三路123號,中山區,135
500107134,長春路258巷2弄口,中山區,172
500107135,長寧大廈社區(南側),中山區,298
500107136,建國五常街口,中山區,134
500107137,中山北路二段62巷口,中山區,152
500107138,市民安東街口,中山區,53
500107139,市民大道二段5巷口,中山區,112
500107140,捷運中山站(3號出口),中山區,152
500107141,建國北路高架橋下停車場G區,中山區,179
500107142,朱崙公園,中山區,235
500107143,朱崙復興北路口,中山區,296
500107144,捷運行天宮站(4號出口),中山區,273
500107145,建國北路三段86巷口,中山區,80
500107146,正守公園,中山區,108
500107147,四平松江路口,中山區,168
500107149,北安通北街口,中山區,101
500107150,民權東復興北路口(西北側),中山區,110
500107151,臺北市立大同高中,中山區,175
500107152,中崙加油站,中山區,86
500107154,中正國小(南京東路三段48巷),中山區,226
500107155,臺北時代廣場,中山區,133
500107156,吉林農安街口(西北側),中山區,110
500107157,濱江國中,中山區,91
500107158,環山抽水站,中山區,94
500107159,民權中山路口(東北側),中山區,158
500107160,復興五常街口(西南側),中山區,56
500107161,松江長安路口,中山區,261
500107162,長安國小,中山區,123
500107163,中山市場,中山區,167
500107164,捷運雙連站(1號出口),中山區,114
500107165,吉林南京路口(西北側),中山區,147
500107166,龍江路345巷,中山區,113
500107167,捷運劍南路站(3號出口),中山區,67
500107168,一江南京東路口(西南側),中山區,242
500107169,大直抽水站公車站,中山區,47
500107170,民權東路三段39巷口,中山區,227
500107171,臺北市立中山女高,中山區,76
500107172,朱昌公園,中山區,156
500107173,林森公園東北側,中山區,84
500107174,康樂公園西北側,中山區,195
500107175,中山北德惠街口,中山區,248
500107176,晴光公園,中山區,181
500107177,松江路25巷口,中山區,271
500107178,民生東合江街口,中山區,144
500107182,遼寧民生路口,中山區,170
500107183,松江路184巷口,中山區,101
500107184,民權東路三段60巷,中山區,215
500107185,長春路258巷2弄(北側),中山區,105
500107186,中山北路二段96巷口,中山區,157
500107187,吉林路236巷口,中山區,97
500107188,上塔悠公園(明水路),中山區,106
500107189,中山民生東路口(東南側),中山區,188
500107190,中山北路二段26巷,中山區,145
500107191,八德路二段210巷口,中山區,67
500107192,長安林森路口公車站,中山區,114
500107193,市民大道二段67巷口,中山區,62
500107194,德惠雙城街口(西側),中山區,185
500107195,北安路608巷明水路口,中山區,102
500107197,新壽公園,中山區,96
