origin_station_id,origin_station_name,district,transaction_count
500103009,捷運圓山站(1號出口),中山區,400
500103033,圓山線形公園,中山區,58
500107001,通北街65巷口,中山區,68
500107005,培英公園,中山區,77
500107006,樂群二明水路口,中山區,53
500107007,北安大直街口,中山區,44
500107008,捷運劍南路站(2號出口),中山區,41
500107009,樂群二敬業三路口,中山區,97
500107010,樂群二敬業四路口,中山區,235
500107011,捷運大直站(3號出口),中山區,69
500107012,復興市民路口,中山區,69
500107013,南京遼寧街口,中山區,102
500107014,伊通長安路口,中山區,62
500107016,市民林森路口,中山區,68
500107017,南京新生路口,中山區,67
500107018,一江公園,中山區,46
500107020,新生長春路口,中山區,51
500107021,第二果菜批發市場,中山區,145
500107022,民生建國路口,中山區,42
500107023,興安華城,中山區,248
500107024,捷運中山國中站,中山區,216
500107025,龍江錦州街口,中山區,130
500107028,捷運松江南京站(7號出口),中山區,50
500107029,朱崙商場,中山區,106
500107030,中吉公園,中山區,57
500107033,江寧公園,中山區,100
500107034,民權龍江路口,中山區,95
500107036,捷運行天宮站(3號出口),中山區,87
500107037,林森農安街口,中山區,62
500107038,捷運中山國小站(4號出口),中山區,58
500107039,農安雙城街口,中山區,53
500107040,新生德惠街口,中山區,50
500107044,新生高架停車場(林森北路107巷口),中山區,58
500107045,南京林森路口,中山區,90
500107046,仁德公園,中山區,60
500107047,中原公園,中山區,75
500107048,下埤公園,中山區,86
500107049,五常國中,中山區,48
500107050,榮星花園,中山區,146
500107051,民權建國路口,中山區,47
500107053,新喜公園,中山區,74
500107054,吉林路407巷口,中山區,81
500107056,林安泰古厝,中山區,141
500107058,渭水八德路口,中山區,51
500107059,捷運中山站(2號出口),中山區,80
500107060,撫順公園,中山區,60
500107061,新生公園,中山區,77
500107062,捷運行天宮站(1號出口),中山區,43
500107063,林森長春路口,中山區,184
500107064,建國農安街口,中山區,43
500107069,中山農安街口,中山區,61
500107070,捷運行政大樓,中山區,42
500107071,中吉公園(松江路188巷),中山區,51
500107072,吉林路123巷口,中山區,50
500107076,錦州吉林路口,中山區,125
500107078,永盛公園(民生東路一段23巷),中山區,125
500107080,濱江街199巷口,中山區,280
500107082,濱江果菜市場,中山區,64
500107085,台泥大樓,中山區,53
500107087,新興公園,中山區,107
500107088,南京伊通街口,中山區,59
500107089,南京龍江路口,中山區,60
500107090,撫順街41巷(崇德宮前),中山區,41
500107091,臺北市立圖書館大直分館,中山區,73
500107093,捷運松江南京站(4號出口),中山區,41
500107095,中429公園,中山區,76
500107107,稻江高級護理家事職業學校,中山區,76
500107108,捷運大直站(3號出口)_1,中山區,41
500107110,民權吉林路口(南側),中山區,46
500107111,長春龍江路口,中山區,52
500107114,中山行政中心,中山區,113
500107117,濱江國小游泳池,中山區,77
500107119,中428公園,中山區,45
500107122,捷運南京復興站(1號出口),中山區,58
500107124,龍江朱崙街口,中山區,48
500107125,大直街94巷,中山區,49
500107128,林森德惠街口,中山區,86
500107133,樂群三路123號,中山區,49
500107134,長春路258巷2弄口,中山區,49
500107135,長寧大廈社區(南側),中山區,109
500107136,建國五常街口,中山區,60
500107141,建國北路高架橋下停車場G區,中山區,45
500107142,朱崙公園,中山區,61
500107143,朱崙復興北路口,中山區,87
500107144,捷運行天宮站(4號出口),中山區,84
500107146,正守公園,中山區,43
500107151,臺北市立大同高中,中山區,78
500107154,中正國小(南京東路三段48巷),中山區,44
