short_id,station_id,station_name,district,latitude,longitude,x,y
S0001,500101001,YouBike2.0_捷運科技大樓站,大安區,25.02605,121.5436,4044.423,6431.02
S0002,500101002,YouBike2.0_復興南路二段273號前,大安區,25.02565,121.54357,4042.99,6451.963
S0003,500101003,YouBike2.0_國北教大實小東側門,大安區,25.02429,121.54124,3931.693,6523.171
S0004,500101004,YouBike2.0_和平公園東側,大安區,25.02351,121.54282,4007.165,6564.011
S0005,500101005,YouBike2.0_辛亥復興路口西北側,大安區,25.02153,121.54299,4015.285,6667.682
S0006,500101006,YouBike2.0_復興南路二段280號前,大安區,25.02429,121.54328,4029.138,6523.171
S0007,500101007,YouBike2.0_復興南路二段340巷口,大安區,25.02253,121.54326,4028.183,6615.323
S0008,500101008,YouBike2.0_新生南路三段52號前,大安區,25.02112,121.53407,3589.203,6689.149
S0009,500101009,YouBike2.0_新生南路三段66號前,大安區,25.01976,121.53384,3578.216,6760.357
S0010,500101010,YouBike2.0_新生南路三段82號前,大安區,25.01894,121.53361,3567.23,6803.291
S0011,500101012,YouBike2.0_辛亥路一段30號前,大安區,25.01986,121.52982,3386.192,6755.121
S0012,500101013,YouBike2.0_和平復興路口西北側,大安區,25.02543,121.54332,4031.049,6463.482
S0013,500101014,YouBike2.0_羅斯福路三段311號前,大安區,25.01717,121.53202,3491.28,6895.966
S0014,500101015,YouBike2.0_大安運動中心停車場,大安區,25.02089,121.54697,4205.399,6701.191
S0015,500101016,YouBike2.0_羅斯福路三段245號前,大安區,25.01927,121.52989,3389.536,6786.013
S0016,500101018,YouBike2.0_溫州公園,大安區,25.01895,121.53156,3469.307,6802.767
S0017,500101019,YouBike2.0_和平臥龍街口,大安區,25.024461,121.546705,4192.74,6514.218
S0018,500101021,YouBike2.0_銘傳國小側門,大安區,25.01385,121.53549,3657.032,7069.798
S0019,500101022,YouBike2.0_捷運公館站(2號出口),大安區,25.01491,121.53438,3604.01,7014.297
S0020,500101023,YouBike2.0_第二學生活動中心,大安區,25.01244,121.53661,3710.531,7143.623
S0021,500101024,YouBike2.0_臺灣科技大學正門,大安區,25.01451,121.54142,3940.291,7035.241
S0022,500101025,YouBike2.0_臺灣科技大學側門,大安區,25.01295,121.53973,3859.565,7116.92
S0023,500101026,YouBike2.0_公館公園,大安區,25.01137,121.54062,3902.077,7199.647
S0024,500101027,YouBike2.0_臺灣科技大學後門,大安區,25.01182,121.54165,3951.278,7176.086
S0025,500101028,YouBike2.0_臺大醫學院附設癌醫中心,大安區,25.01426,121.54382,4054.932,7048.33
S0026,500101029,YouBike2.0_臺大環研大樓,大安區,25.01234,121.54503,4112.73,7148.859
S0027,500101030,YouBike2.0_臺大永齡生醫工程館,大安區,25.0136,121.54656,4185.814,7082.887
S0028,500101031,YouBike2.0_臺大男七舍前,大安區,25.01537,121.54698,4205.876,6990.212
S0029,500101032,YouBike2.0_臺大男一舍前,大安區,25.01637,121.54535,4128.016,6937.853
S0030,500101033,YouBike2.0_臺大男六舍前,大安區,25.01664,121.5452,4120.851,6923.716
S0031,500101034,YouBike2.0_臺大動物醫院前,大安區,25.01576,121.54291,4011.464,6969.792
S0032,500101035,YouBike2.0_臺大土木研究大樓前,大安區,25.01787,121.5476,4235.492,6859.315
S0033,500101036,YouBike2.0_臺大萬才館前,大安區,25.02032,121.54497,4109.864,6731.036
S0034,500101037,YouBike2.0_臺大國青大樓宿舍前,大安區,25.02076,121.54432,4078.816,6707.998
S0035,500101038,YouBike2.0_臺大社科院圖書館前,大安區,25.02101,121.54284,4008.12,6694.908
S0036,500101039,YouBike2.0_臺大法人語言訓練中心前,大安區,25.02104,121.54081,3911.153,6693.337
S0037,500101040,YouBike2.0_臺大綜合體育館停車場前,大安區,25.0222,121.53626,3693.813,6632.601
S0038,500101041,YouBike2.0_辛亥新生路口東南側,大安區,25.02218,121.53474,3621.207,6633.648
S0039,500101042,YouBike2.0_基隆長興路口東側,大安區,25.01727,121.54471,4097.445,6890.73
S0040,500101091,YouBike2.0_國北教大側門南側,大安區,25.022864,121.546622,4188.776,6597.835
S0041,500101092,YouBike2.0_和平實小東北側,大安區,25.021641,121.54704,4208.742,6661.87
S0042,500101093,YouBike2.0_大安區健康服務中心,大安區,25.021469,121.544069,4066.826,6670.875
S0043,500101094,YouBike2.0_辛亥泰順街口,大安區,25.02193,121.53165,3473.606,6646.738
S0044,500101095,YouBike2.0_臺北市芳和實驗中學,大安區,25.0189,121.55013,4356.343,6805.385
S0045,500101097,YouBike2.0_臥龍樂業街口,大安區,25.01856,121.55558,4616.674,6823.187
S0046,500101098,YouBike2.0_臥龍公園,大安區,25.01623,121.55037,4367.807,6945.183
S0047,500101099,YouBike2.0_嘉興公園,大安區,25.021,121.55211,4450.922,6695.432
S0048,500101100,YouBike2.0_捷運麟光站(2號出口),大安區,25.0181,121.55929,4793.89,6847.272
S0049,500101101,YouBike2.0_捷運六張犁站,大安區,25.02397,121.55266,4477.194,6539.926
S0050,500101102,YouBike2.0_喬治工商,大安區,25.02705,121.55551,4613.33,6378.661
S0051,500101103,YouBike2.0_法治公園,大安區,25.02694,121.55325,4505.376,6384.42
S0052,500101104,YouBike2.0_捷運臺電大樓站(2號出口),大安區,25.02021,121.52942,3367.085,6736.795
S0053,500101105,YouBike2.0_和平金山路口,大安區,25.02669,121.52529,3169.807,6397.51
S0054,500101107,YouBike2.0_和平龍泉街口,大安區,25.02638,121.52971,3380.938,6413.741
