sno,bike_avail_rate,dock_avail_rate,avg_fill_ratio
500101001,0.9386,0.9857,0.3107
500101002,0.8972,0.9723,0.3612
500101003,0.9811,0.9646,0.4242
500101004,0.95,0.8687,0.53
500101005,0.9662,0.9309,0.4742
500101006,0.9784,0.9699,0.3595
500101007,0.9117,0.8849,0.4844
500101008,0.9624,0.9419,0.4511
500101009,0.919,0.9162,0.3798
500101010,0.9332,0.9277,0.3853
500101012,0.9189,0.9327,0.4517
500101013,0.9483,0.8967,0.5359
500101014,0.9225,0.922,0.4531
500101015,0.966,0.9611,0.3839
500101016,0.8778,0.918,0.4335
500101018,0.9445,0.848,0.5685
500101019,0.9715,0.9439,0.519
500101021,0.7462,0.9126,0.3467
500101022,0.964,0.986,0.2841
500101023,0.9716,1.0,0.2572
500101024,0.9071,0.9704,0.2932
500101025,0.9987,0.9986,0.2273
500101026,0.9003,0.9691,0.4497
500101027,0.9433,0.9504,0.4636
500101028,0.9271,0.9357,0.4289
500101029,0.8927,0.9954,0.2914
500101030,0.9529,0.9578,0.4791
500101031,0.9103,0.8125,0.5415
500101032,0.9193,0.8575,0.4903
500101033,0.8729,0.8953,0.4225
500101034,0.8659,0.9298,0.379
500101035,0.9291,0.9808,0.3189
500101036,0.8987,0.9811,0.2447
500101037,0.9336,0.967,0.3453
500101038,0.8316,0.9756,0.2689
500101039,0.88,0.9706,0.3604
500101040,0.9683,0.9329,0.5054
500101041,0.9929,0.9955,0.4072
500101042,0.8382,0.7537,0.5186
500101091,0.9678,0.9493,0.492
500101092,0.9598,0.975,0.3928
500101093,0.875,0.9841,0.2627
500101094,0.9648,0.9704,0.49
500101095,0.9751,0.997,0.3375
500101097,0.9636,0.9979,0.4085
500101098,0.9782,1.0,0.3628
500101099,0.9626,0.9925,0.4857
500101100,0.9853,0.9999,0.3175
500101101,0.9888,0.9967,0.2774
500101102,0.9432,0.981,0.3931
500101103,0.959,0.9843,0.4109
500101104,0.8968,0.9576,0.3998
500101105,0.9915,1.0,0.1928
500101107,0.9867,0.9472,0.4553
500101108,0.9707,0.9119,0.4924
500101109,0.9777,0.9735,0.3768
500101110,0.9792,0.9989,0.323
500101113,0.9952,0.9841,0.5333
500101114,0.9919,0.9916,0.3681
500101115,0.9916,0.9897,0.4424
500101116,0.9863,0.9883,0.4855
500101118,0.9691,0.9724,0.4293
500101119,0.9619,0.9692,0.4182
500101120,0.987,1.0,0.3086
500101122,0.8709,0.9969,0.3551
500101123,0.9625,0.9709,0.3153
500101124,0.9754,0.996,0.3286
500101125,0.9563,0.973,0.3738
500101126,0.9358,0.9956,0.3205
500101127,0.9939,0.9926,0.3349
500101128,0.9971,1.0,0.3371
500101129,0.9956,0.9815,0.5269
500101130,0.9816,0.9482,0.5312
500101131,0.9609,0.9959,0.275
500101132,0.9704,0.9962,0.2484
500101133,0.9678,0.9834,0.4051
500101134,0.8551,0.9794,0.2254
500101135,0.9636,0.9981,0.2778
500101136,0.9396,0.9904,0.3276
500101137,0.9736,0.9916,0.4479
500101138,0.9611,0.9756,0.3303
500101139,0.9808,1.0,0.3489
500101140,0.9287,0.9874,0.305
