sno,time_period,lambda_rent_hr,lambda_return_hr
500101001,00:00-02:00,5.8,5.75
500101001,02:00-04:00,1.07,1.14
500101001,04:00-06:00,0.93,3.3
500101001,06:00-08:00,25.75,22.59
500101001,08:00-10:00,43.18,37.35
500101001,10:00-12:00,29.68,25.1
500101001,12:00-14:00,35.26,31.04
500101001,14:00-16:00,29.96,31.0
500101001,16:00-18:00,37.81,44.96
500101001,18:00-20:00,41.19,35.04
500101001,20:00-22:00,28.78,30.58
500101001,22:00-24:00,22.31,19.64
500101002,00:00-02:00,3.15,4.14
500101002,02:00-04:00,0.66,1.52
500101002,04:00-06:00,1.11,1.61
500101002,06:00-08:00,7.86,4.39
500101002,08:00-10:00,13.78,9.52
500101002,10:00-12:00,12.37,9.5
500101002,12:00-14:00,15.53,12.5
500101002,14:00-16:00,12.12,12.05
500101002,16:00-18:00,12.98,19.22
500101002,18:00-20:00,19.64,16.11
500101002,20:00-22:00,15.3,14.04
500101002,22:00-24:00,8.47,7.37
500101003,00:00-02:00,0.71,1.1
500101003,02:00-04:00,0.11,0.13
500101003,04:00-06:00,0.77,0.25
500101003,06:00-08:00,7.25,5.97
500101003,08:00-10:00,12.87,9.53
500101003,10:00-12:00,8.43,6.0
500101003,12:00-14:00,8.96,11.67
500101003,14:00-16:00,7.51,6.49
500101003,16:00-18:00,11.44,11.03
500101003,18:00-20:00,8.23,9.95
500101003,20:00-22:00,5.0,5.81
500101003,22:00-24:00,2.03,3.82
500101004,00:00-02:00,1.37,1.68
500101004,02:00-04:00,0.61,0.39
500101004,04:00-06:00,1.08,0.43
500101004,06:00-08:00,4.31,2.51
500101004,08:00-10:00,5.34,4.2
500101004,10:00-12:00,6.96,9.31
500101004,12:00-14:00,15.27,15.82
500101004,14:00-16:00,7.83,6.98
500101004,16:00-18:00,9.6,14.81
500101004,18:00-20:00,16.69,16.42
500101004,20:00-22:00,7.49,9.23
500101004,22:00-24:00,3.16,5.58
500101005,00:00-02:00,1.7,3.39
500101005,02:00-04:00,0.27,0.58
500101005,04:00-06:00,0.98,0.33
500101005,06:00-08:00,7.11,7.9
500101005,08:00-10:00,17.12,14.91
500101005,10:00-12:00,15.06,17.52
500101005,12:00-14:00,25.99,25.14
500101005,14:00-16:00,12.13,11.61
500101005,16:00-18:00,18.77,20.5
500101005,18:00-20:00,24.8,21.52
500101005,20:00-22:00,10.17,10.74
500101005,22:00-24:00,6.47,7.64
500101006,00:00-02:00,1.63,1.8
500101006,02:00-04:00,0.64,0.56
500101006,04:00-06:00,0.45,0.83
500101006,06:00-08:00,4.3,2.39
500101006,08:00-10:00,8.94,8.77
500101006,10:00-12:00,8.21,8.54
500101006,12:00-14:00,13.22,13.55
500101006,14:00-16:00,8.6,7.15
500101006,16:00-18:00,8.68,17.46
500101006,18:00-20:00,15.6,12.87
500101006,20:00-22:00,8.89,6.51
500101006,22:00-24:00,4.57,4.69
500101007,00:00-02:00,0.94,1.63
500101007,02:00-04:00,0.3,0.55
500101007,04:00-06:00,0.87,0.43
500101007,06:00-08:00,3.63,1.26
500101007,08:00-10:00,6.09,4.49
500101007,10:00-12:00,6.05,7.63
500101007,12:00-14:00,12.26,10.91
500101007,14:00-16:00,5.57,4.49
500101007,16:00-18:00,7.95,10.48
500101007,18:00-20:00,12.18,12.59
500101007,20:00-22:00,7.56,6.81
500101007,22:00-24:00,3.63,5.33
500101008,00:00-02:00,1.38,0.88
500101008,02:00-04:00,0.26,0.2
500101008,04:00-06:00,0.92,0.76
500101008,06:00-08:00,3.94,2.58
500101008,08:00-10:00,4.82,4.73
500101008,10:00-12:00,6.11,5.38
500101008,12:00-14:00,7.5,9.87
500101008,14:00-16:00,6.36,5.62
500101008,16:00-18:00,6.47,10.02
500101008,18:00-20:00,7.61,10.5
500101008,20:00-22:00,6.45,5.68
500101008,22:00-24:00,4.45,3.4
500101009,00:00-02:00,0.82,0.78
500101009,02:00-04:00,0.1,0.27
500101009,04:00-06:00,0.24,0.57
500101009,06:00-08:00,2.62,1.43
500101009,08:00-10:00,5.78,6.63
500101009,10:00-12:00,8.57,10.93
500101009,12:00-14:00,17.22,18.58
500101009,14:00-16:00,10.79,9.75
500101009,16:00-18:00,10.67,18.18
500101009,18:00-20:00,14.95,20.21
500101009,20:00-22:00,11.2,7.87
500101009,22:00-24:00,3.53,2.89
500101010,00:00-02:00,1.62,2.4
500101010,02:00-04:00,0.65,0.73
500101010,04:00-06:00,0.65,0.64
500101010,06:00-08:00,5.45,4.25
500101010,08:00-10:00,11.93,10.94
500101010,10:00-12:00,12.7,14.71
500101010,12:00-14:00,21.41,22.95
500101010,14:00-16:00,15.32,14.17
500101010,16:00-18:00,14.06,24.48
500101010,18:00-20:00,17.56,22.85
500101010,20:00-22:00,17.09,11.61
500101010,22:00-24:00,8.27,6.65
500101012,00:00-02:00,1.12,0.74
500101012,02:00-04:00,0.19,0.46
500101012,04:00-06:00,0.33,0.26
500101012,06:00-08:00,3.78,3.26
500101012,08:00-10:00,7.29,5.91
500101012,10:00-12:00,6.55,5.4
500101012,12:00-14:00,8.28,7.59
500101012,14:00-16:00,6.82,6.44
500101012,16:00-18:00,8.0,9.41
500101012,18:00-20:00,7.62,9.13
500101012,20:00-22:00,5.66,6.13
500101012,22:00-24:00,2.98,2.99
500101013,00:00-02:00,1.31,1.46
500101013,02:00-04:00,0.2,0.32
500101013,04:00-06:00,0.55,1.02
500101013,06:00-08:00,4.42,3.96
500101013,08:00-10:00,10.71,11.26
500101013,10:00-12:00,9.55,8.78
500101013,12:00-14:00,12.24,13.25
500101013,14:00-16:00,9.78,9.87
500101013,16:00-18:00,11.93,15.48
500101013,18:00-20:00,10.92,13.8
500101013,20:00-22:00,9.1,8.88
500101013,22:00-24:00,4.47,4.51
500101014,00:00-02:00,3.21,3.54
500101014,02:00-04:00,1.44,1.2
500101014,04:00-06:00,1.38,1.29
500101014,06:00-08:00,6.8,6.98
500101014,08:00-10:00,14.3,11.64
500101014,10:00-12:00,14.11,13.45
500101014,12:00-14:00,17.71,18.69
500101014,14:00-16:00,13.94,13.49
500101014,16:00-18:00,17.11,21.81
500101014,18:00-20:00,18.15,21.43
500101014,20:00-22:00,14.18,14.47
500101014,22:00-24:00,8.89,7.36
500101015,00:00-02:00,0.19,0.45
500101015,02:00-04:00,0.18,0.11
500101015,04:00-06:00,0.18,0.18
500101015,06:00-08:00,2.75,2.46
500101015,08:00-10:00,4.4,6.09
500101015,10:00-12:00,3.86,5.7
500101015,12:00-14:00,4.84,5.09
500101015,14:00-16:00,3.9,4.53
500101015,16:00-18:00,8.71,4.95
500101015,18:00-20:00,5.27,4.0
500101015,20:00-22:00,2.7,3.39
500101015,22:00-24:00,1.88,2.14
500101016,00:00-02:00,0.95,0.99
500101016,02:00-04:00,0.25,0.44
500101016,04:00-06:00,0.43,0.61
500101016,06:00-08:00,2.95,2.53
500101016,08:00-10:00,7.12,5.4
500101016,10:00-12:00,7.05,5.36
500101016,12:00-14:00,8.49,7.25
500101016,14:00-16:00,6.06,4.87
500101016,16:00-18:00,6.65,8.68
500101016,18:00-20:00,8.2,8.45
500101016,20:00-22:00,6.14,5.57
500101016,22:00-24:00,3.03,3.51
500101018,00:00-02:00,0.47,1.35
500101018,02:00-04:00,0.27,0.66
500101018,04:00-06:00,0.89,0.17
500101018,06:00-08:00,4.33,2.77
500101018,08:00-10:00,6.95,5.14
500101018,10:00-12:00,8.5,8.09
500101018,12:00-14:00,11.25,11.93
500101018,14:00-16:00,8.12,8.35
500101018,16:00-18:00,8.44,13.03
500101018,18:00-20:00,9.29,11.64
500101018,20:00-22:00,8.84,9.9
500101018,22:00-24:00,4.99,5.74
500101019,00:00-02:00,1.6,2.99
500101019,02:00-04:00,0.34,0.53
500101019,04:00-06:00,1.02,0.33
500101019,06:00-08:00,8.42,4.25
500101019,08:00-10:00,13.17,17.76
500101019,10:00-12:00,13.95,12.03
500101019,12:00-14:00,16.08,14.82
500101019,14:00-16:00,10.92,10.54
500101019,16:00-18:00,13.8,12.16
500101019,18:00-20:00,14.18,12.88
500101019,20:00-22:00,9.1,9.73
500101019,22:00-24:00,5.27,8.79
500101021,00:00-02:00,0.57,0.35
500101021,02:00-04:00,0.28,0.34
500101021,04:00-06:00,0.99,0.86
500101021,06:00-08:00,4.32,3.18
500101021,08:00-10:00,8.82,5.6
500101021,10:00-12:00,8.65,7.78
500101021,12:00-14:00,12.56,11.04
500101021,14:00-16:00,8.53,9.32
500101021,16:00-18:00,11.02,16.21
500101021,18:00-20:00,11.3,14.03
500101021,20:00-22:00,7.52,6.86
500101021,22:00-24:00,3.66,1.91
500101022,00:00-02:00,10.42,7.59
500101022,02:00-04:00,1.56,4.73
500101022,04:00-06:00,1.19,5.21
500101022,06:00-08:00,34.02,30.16
500101022,08:00-10:00,43.66,30.55
500101022,10:00-12:00,37.15,42.15
500101022,12:00-14:00,56.6,53.1
500101022,14:00-16:00,48.08,54.83
500101022,16:00-18:00,57.15,72.94
500101022,18:00-20:00,55.77,58.79
500101022,20:00-22:00,47.95,40.3
500101022,22:00-24:00,36.1,31.34
500101023,00:00-02:00,2.73,1.79
500101023,02:00-04:00,0.83,4.77
500101023,04:00-06:00,1.28,2.82
500101023,06:00-08:00,7.41,6.5
500101023,08:00-10:00,14.44,14.32
500101023,10:00-12:00,11.53,11.47
500101023,12:00-14:00,17.81,19.27
500101023,14:00-16:00,15.01,12.71
500101023,16:00-18:00,18.91,20.92
500101023,18:00-20:00,17.22,23.42
500101023,20:00-22:00,22.19,10.55
500101023,22:00-24:00,8.62,6.81
500101024,00:00-02:00,1.27,0.99
500101024,02:00-04:00,0.51,0.32
500101024,04:00-06:00,0.22,0.52
500101024,06:00-08:00,1.37,8.0
500101024,08:00-10:00,11.89,20.15
500101024,10:00-12:00,10.74,13.53
500101024,12:00-14:00,17.17,17.4
500101024,14:00-16:00,13.91,11.45
500101024,16:00-18:00,26.04,14.43
500101024,18:00-20:00,15.09,11.9
500101024,20:00-22:00,8.24,6.34
500101024,22:00-24:00,4.4,2.64
500101025,00:00-02:00,1.08,1.3
500101025,02:00-04:00,0.25,0.36
500101025,04:00-06:00,0.91,0.45
500101025,06:00-08:00,4.5,11.73
500101025,08:00-10:00,23.25,36.76
500101025,10:00-12:00,23.26,23.16
500101025,12:00-14:00,26.31,27.74
500101025,14:00-16:00,25.43,14.92
500101025,16:00-18:00,33.36,23.46
500101025,18:00-20:00,15.05,13.34
500101025,20:00-22:00,8.89,9.93
500101025,22:00-24:00,5.05,5.51
500101026,00:00-02:00,1.65,1.3
500101026,02:00-04:00,0.57,0.11
500101026,04:00-06:00,0.46,0.39
500101026,06:00-08:00,2.7,5.06
500101026,08:00-10:00,5.0,4.61
500101026,10:00-12:00,6.88,5.94
500101026,12:00-14:00,7.93,6.33
500101026,14:00-16:00,5.02,4.9
500101026,16:00-18:00,14.21,4.85
500101026,18:00-20:00,7.96,6.29
500101026,20:00-22:00,6.85,8.95
500101026,22:00-24:00,3.24,5.82
500101027,00:00-02:00,8.11,8.46
500101027,02:00-04:00,2.54,1.93
500101027,04:00-06:00,3.75,1.26
500101027,06:00-08:00,10.14,9.27
500101027,08:00-10:00,16.1,16.82
500101027,10:00-12:00,17.82,16.69
500101027,12:00-14:00,25.23,25.79
500101027,14:00-16:00,20.64,19.99
500101027,16:00-18:00,34.76,20.58
500101027,18:00-20:00,34.77,33.47
500101027,20:00-22:00,26.14,31.59
500101027,22:00-24:00,18.02,24.27
500101028,00:00-02:00,0.85,0.67
500101028,02:00-04:00,0.37,0.32
500101028,04:00-06:00,0.35,1.52
500101028,06:00-08:00,7.92,8.6
500101028,08:00-10:00,8.39,13.25
500101028,10:00-12:00,8.79,8.57
500101028,12:00-14:00,10.0,11.24
500101028,14:00-16:00,8.48,8.29
500101028,16:00-18:00,17.28,12.87
500101028,18:00-20:00,9.11,6.62
500101028,20:00-22:00,4.54,5.07
500101028,22:00-24:00,2.72,2.91
500101029,00:00-02:00,0.47,0.33
500101029,02:00-04:00,0.23,0.2
500101029,04:00-06:00,0.37,0.55
500101029,06:00-08:00,1.97,3.55
500101029,08:00-10:00,4.37,7.32
500101029,10:00-12:00,7.31,7.5
500101029,12:00-14:00,5.94,6.65
500101029,14:00-16:00,5.7,4.19
500101029,16:00-18:00,10.2,4.41
500101029,18:00-20:00,5.25,3.98
500101029,20:00-22:00,2.04,1.8
500101029,22:00-24:00,1.2,1.12
500101030,00:00-02:00,1.51,2.5
500101030,02:00-04:00,0.46,0.47
500101030,04:00-06:00,0.92,0.19
500101030,06:00-08:00,4.05,2.74
500101030,08:00-10:00,7.95,10.15
500101030,10:00-12:00,12.32,9.48
500101030,12:00-14:00,10.99,10.37
500101030,14:00-16:00,7.59,7.85
500101030,16:00-18:00,12.29,8.06
500101030,18:00-20:00,6.93,5.29
500101030,20:00-22:00,2.57,3.53
500101030,22:00-24:00,2.41,6.91
500101031,00:00-02:00,1.7,3.86
500101031,02:00-04:00,0.5,0.97
500101031,04:00-06:00,1.18,0.4
500101031,06:00-08:00,7.07,4.79
500101031,08:00-10:00,16.66,12.06
500101031,10:00-12:00,13.49,8.36
500101031,12:00-14:00,15.77,16.47
500101031,14:00-16:00,14.0,11.74
500101031,16:00-18:00,16.47,11.34
500101031,18:00-20:00,12.54,12.85
500101031,20:00-22:00,6.51,13.04
500101031,22:00-24:00,4.44,9.57
500101032,00:00-02:00,4.01,7.02
500101032,02:00-04:00,0.84,2.04
500101032,04:00-06:00,2.07,1.09
500101032,06:00-08:00,16.48,3.04
500101032,08:00-10:00,27.87,13.55
500101032,10:00-12:00,22.58,13.29
500101032,12:00-14:00,39.24,31.08
500101032,14:00-16:00,26.53,26.75
500101032,16:00-18:00,34.25,28.62
500101032,18:00-20:00,31.14,34.03
500101032,20:00-22:00,11.57,31.45
500101032,22:00-24:00,6.67,14.97
500101033,00:00-02:00,5.28,12.93
500101033,02:00-04:00,2.89,4.09
500101033,04:00-06:00,3.09,1.94
500101033,06:00-08:00,8.34,3.13
500101033,08:00-10:00,22.51,13.12
500101033,10:00-12:00,18.91,9.04
500101033,12:00-14:00,26.56,17.08
