sno,time_period,lambda_rent_hr,lambda_return_hr
500101001,00:00-02:00,5.7,4.83
500101001,02:00-04:00,0.89,1.22
500101001,04:00-06:00,1.03,3.35
500101001,06:00-08:00,29.54,25.32
500101001,08:00-10:00,47.38,39.79
500101001,10:00-12:00,30.52,23.05
500101001,12:00-14:00,35.18,29.83
500101001,14:00-16:00,28.58,31.26
500101001,16:00-18:00,39.16,49.39
500101001,18:00-20:00,44.1,36.63
500101001,20:00-22:00,29.39,32.56
500101001,22:00-24:00,22.73,20.3
500101002,00:00-02:00,2.54,3.16
500101002,02:00-04:00,0.69,1.37
500101002,04:00-06:00,1.16,1.66
500101002,06:00-08:00,9.12,4.59
500101002,08:00-10:00,14.08,8.86
500101002,10:00-12:00,14.16,8.9
500101002,12:00-14:00,16.49,12.19
500101002,14:00-16:00,11.79,12.04
500101002,16:00-18:00,12.31,20.23
500101002,18:00-20:00,20.9,16.33
500101002,20:00-22:00,14.57,13.9
500101002,22:00-24:00,8.27,7.81
500101003,00:00-02:00,0.79,0.92
500101003,02:00-04:00,0.09,0.1
500101003,04:00-06:00,0.75,0.26
500101003,06:00-08:00,7.38,7.55
500101003,08:00-10:00,15.21,11.03
500101003,10:00-12:00,8.25,5.87
500101003,12:00-14:00,9.83,13.2
500101003,14:00-16:00,7.96,6.48
500101003,16:00-18:00,13.55,12.14
500101003,18:00-20:00,9.36,10.03
500101003,20:00-22:00,5.29,5.72
500101003,22:00-24:00,2.1,3.61
500101004,00:00-02:00,1.31,1.45
500101004,02:00-04:00,0.56,0.37
500101004,04:00-06:00,1.08,0.42
500101004,06:00-08:00,4.83,2.65
500101004,08:00-10:00,5.44,4.25
500101004,10:00-12:00,7.08,9.59
500101004,12:00-14:00,15.95,15.29
500101004,14:00-16:00,6.71,6.16
500101004,16:00-18:00,9.67,15.43
500101004,18:00-20:00,16.82,15.65
500101004,20:00-22:00,7.05,8.46
500101004,22:00-24:00,3.32,5.12
500101005,00:00-02:00,1.51,3.2
500101005,02:00-04:00,0.31,0.42
500101005,04:00-06:00,0.85,0.32
500101005,06:00-08:00,8.63,9.39
500101005,08:00-10:00,19.38,17.54
500101005,10:00-12:00,15.85,18.55
500101005,12:00-14:00,28.03,26.13
500101005,14:00-16:00,12.13,11.34
500101005,16:00-18:00,20.36,20.72
500101005,18:00-20:00,24.89,21.43
500101005,20:00-22:00,10.99,10.53
500101005,22:00-24:00,6.74,7.46
500101006,00:00-02:00,1.31,1.56
500101006,02:00-04:00,0.53,0.37
500101006,04:00-06:00,0.44,0.88
500101006,06:00-08:00,4.75,2.69
500101006,08:00-10:00,10.38,9.66
500101006,10:00-12:00,8.53,8.5
500101006,12:00-14:00,14.84,14.25
500101006,14:00-16:00,8.29,6.94
500101006,16:00-18:00,8.81,19.99
500101006,18:00-20:00,17.08,12.52
500101006,20:00-22:00,9.01,6.67
500101006,22:00-24:00,3.99,4.72
500101007,00:00-02:00,0.46,1.65
500101007,02:00-04:00,0.25,0.41
500101007,04:00-06:00,0.84,0.47
500101007,06:00-08:00,3.98,1.27
500101007,08:00-10:00,6.86,4.99
500101007,10:00-12:00,6.02,7.88
500101007,12:00-14:00,13.48,10.99
500101007,14:00-16:00,4.96,3.41
500101007,16:00-18:00,8.11,10.35
500101007,18:00-20:00,12.78,12.03
500101007,20:00-22:00,7.73,7.06
500101007,22:00-24:00,3.89,5.49
500101008,00:00-02:00,1.28,0.9
500101008,02:00-04:00,0.25,0.19
500101008,04:00-06:00,1.03,0.64
500101008,06:00-08:00,4.19,2.52
500101008,08:00-10:00,4.81,4.34
500101008,10:00-12:00,5.72,3.96
500101008,12:00-14:00,7.45,8.97
500101008,14:00-16:00,5.84,5.34
500101008,16:00-18:00,6.11,10.24
500101008,18:00-20:00,7.21,9.21
500101008,20:00-22:00,6.47,5.77
500101008,22:00-24:00,4.5,3.42
500101009,00:00-02:00,0.72,0.62
500101009,02:00-04:00,0.1,0.31
500101009,04:00-06:00,0.26,0.53
500101009,06:00-08:00,2.64,1.56
500101009,08:00-10:00,6.29,5.4
500101009,10:00-12:00,8.57,9.9
500101009,12:00-14:00,18.75,17.79
500101009,14:00-16:00,9.0,8.46
500101009,16:00-18:00,9.91,17.22
500101009,18:00-20:00,14.97,19.06
500101009,20:00-22:00,10.87,7.81
500101009,22:00-24:00,3.48,2.85
500101010,00:00-02:00,1.39,2.17
500101010,02:00-04:00,0.44,0.72
500101010,04:00-06:00,0.71,0.72
500101010,06:00-08:00,6.12,3.91
500101010,08:00-10:00,12.01,8.8
500101010,10:00-12:00,12.95,13.11
500101010,12:00-14:00,22.23,22.66
500101010,14:00-16:00,13.38,12.43
500101010,16:00-18:00,12.85,24.42
500101010,18:00-20:00,16.46,22.15
500101010,20:00-22:00,17.52,12.31
500101010,22:00-24:00,8.58,6.05
500101012,00:00-02:00,1.07,0.59
500101012,02:00-04:00,0.26,0.38
500101012,04:00-06:00,0.3,0.22
500101012,06:00-08:00,4.46,3.64
500101012,08:00-10:00,7.85,6.12
500101012,10:00-12:00,6.39,4.5
500101012,12:00-14:00,8.18,7.22
500101012,14:00-16:00,5.64,5.32
500101012,16:00-18:00,7.59,9.57
500101012,18:00-20:00,7.49,9.73
500101012,20:00-22:00,5.89,6.22
500101012,22:00-24:00,2.75,2.75
500101013,00:00-02:00,1.29,1.06
500101013,02:00-04:00,0.22,0.28
500101013,04:00-06:00,0.34,0.97
500101013,06:00-08:00,4.87,3.88
500101013,08:00-10:00,12.8,12.52
500101013,10:00-12:00,9.86,8.26
500101013,12:00-14:00,13.3,13.56
500101013,14:00-16:00,9.62,9.18
500101013,16:00-18:00,12.07,16.62
500101013,18:00-20:00,11.35,14.41
500101013,20:00-22:00,9.34,9.03
500101013,22:00-24:00,4.1,4.69
500101014,00:00-02:00,2.89,3.42
500101014,02:00-04:00,1.2,0.92
500101014,04:00-06:00,1.24,1.27
500101014,06:00-08:00,7.97,8.28
500101014,08:00-10:00,16.4,11.94
500101014,10:00-12:00,14.95,12.33
500101014,12:00-14:00,19.01,18.71
500101014,14:00-16:00,13.94,13.52
500101014,16:00-18:00,17.86,22.42
500101014,18:00-20:00,17.89,21.87
500101014,20:00-22:00,14.72,15.91
500101014,22:00-24:00,8.88,7.81
500101015,00:00-02:00,0.23,0.36
500101015,02:00-04:00,0.16,0.12
500101015,04:00-06:00,0.19,0.25
500101015,06:00-08:00,3.13,2.63
500101015,08:00-10:00,4.59,7.16
500101015,10:00-12:00,3.86,6.55
500101015,12:00-14:00,5.2,5.53
500101015,14:00-16:00,4.46,5.0
500101015,16:00-18:00,9.7,5.27
500101015,18:00-20:00,6.03,3.9
500101015,20:00-22:00,2.86,3.25
500101015,22:00-24:00,1.87,2.16
500101016,00:00-02:00,0.97,1.04
500101016,02:00-04:00,0.23,0.46
500101016,04:00-06:00,0.41,0.52
500101016,06:00-08:00,3.35,2.77
500101016,08:00-10:00,8.06,5.17
500101016,10:00-12:00,7.61,4.63
500101016,12:00-14:00,8.3,7.02
500101016,14:00-16:00,5.61,4.29
500101016,16:00-18:00,6.61,8.82
500101016,18:00-20:00,8.51,8.75
500101016,20:00-22:00,6.23,6.12
500101016,22:00-24:00,2.96,3.47
500101018,00:00-02:00,0.36,1.2
500101018,02:00-04:00,0.25,0.58
500101018,04:00-06:00,0.94,0.18
500101018,06:00-08:00,4.74,2.84
500101018,08:00-10:00,7.23,4.78
500101018,10:00-12:00,9.03,7.03
500101018,12:00-14:00,11.79,11.85
500101018,14:00-16:00,7.26,7.09
500101018,16:00-18:00,8.42,13.24
500101018,18:00-20:00,9.17,11.33
500101018,20:00-22:00,8.61,10.24
500101018,22:00-24:00,5.21,6.09
500101019,00:00-02:00,1.58,2.98
500101019,02:00-04:00,0.31,0.53
500101019,04:00-06:00,1.09,0.31
500101019,06:00-08:00,9.36,4.73
500101019,08:00-10:00,14.22,20.87
500101019,10:00-12:00,14.24,12.15
500101019,12:00-14:00,16.47,15.4
500101019,14:00-16:00,10.95,10.6
500101019,16:00-18:00,15.34,12.86
500101019,18:00-20:00,15.45,12.73
500101019,20:00-22:00,9.99,9.94
500101019,22:00-24:00,5.56,9.37
500101021,00:00-02:00,0.42,0.13
500101021,02:00-04:00,0.13,0.28
500101021,04:00-06:00,1.07,0.91
500101021,06:00-08:00,5.01,3.59
500101021,08:00-10:00,9.96,5.41
500101021,10:00-12:00,9.48,6.9
500101021,12:00-14:00,13.61,10.33
500101021,14:00-16:00,8.66,8.97
500101021,16:00-18:00,11.21,17.95
500101021,18:00-20:00,12.06,14.53
500101021,20:00-22:00,7.19,7.43
