sno,time_period,lambda_rent_hr,lambda_return_hr
500101001,00:00-02:00,6.08,8.08
500101001,02:00-04:00,1.5,0.92
500101001,04:00-06:00,0.67,3.17
500101001,06:00-08:00,15.75,15.33
500101001,08:00-10:00,32.85,30.88
500101001,10:00-12:00,28.0,30.93
500101001,12:00-14:00,35.42,34.26
500101001,14:00-16:00,33.51,30.3
500101001,16:00-18:00,34.07,34.49
500101001,18:00-20:00,33.57,30.88
500101001,20:00-22:00,27.13,25.42
500101001,22:00-24:00,21.3,17.82
500101002,00:00-02:00,4.62,6.58
500101002,02:00-04:00,0.58,1.92
500101002,04:00-06:00,1.0,1.5
500101002,06:00-08:00,4.83,3.83
500101002,08:00-10:00,13.16,11.38
500101002,10:00-12:00,9.42,11.31
500101002,12:00-14:00,13.58,13.34
500101002,14:00-16:00,12.99,12.07
500101002,16:00-18:00,14.89,16.68
500101002,18:00-20:00,16.37,15.5
500101002,20:00-22:00,17.19,14.42
500101002,22:00-24:00,9.11,6.28
500101003,00:00-02:00,0.5,1.59
500101003,02:00-04:00,0.17,0.22
500101003,04:00-06:00,0.83,0.23
500101003,06:00-08:00,6.92,1.75
500101003,08:00-10:00,6.8,5.51
500101003,10:00-12:00,8.87,6.33
500101003,12:00-14:00,6.75,7.65
500101003,14:00-16:00,6.36,6.52
500101003,16:00-18:00,5.86,8.08
500101003,18:00-20:00,5.26,9.72
500101003,20:00-22:00,4.25,6.07
500101003,22:00-24:00,1.84,4.68
500101004,00:00-02:00,1.5,2.25
500101004,02:00-04:00,0.75,0.47
500101004,04:00-06:00,1.08,0.47
500101004,06:00-08:00,3.0,2.12
500101004,08:00-10:00,5.1,4.08
500101004,10:00-12:00,6.69,8.58
500101004,12:00-14:00,13.54,17.38
500101004,14:00-16:00,10.77,9.26
500101004,16:00-18:00,9.4,13.29
500101004,18:00-20:00,16.33,18.89
500101004,20:00-22:00,8.64,11.51
500101004,22:00-24:00,2.76,7.4
500101005,00:00-02:00,2.17,3.88
500101005,02:00-04:00,0.17,1.07
500101005,04:00-06:00,1.33,0.38
500101005,06:00-08:00,3.0,3.72
500101005,08:00-10:00,10.84,7.78
500101005,10:00-12:00,13.01,14.92
500101005,12:00-14:00,20.69,22.33
500101005,14:00-16:00,12.12,12.34
500101005,16:00-18:00,14.75,19.84
500101005,18:00-20:00,24.57,21.79
500101005,20:00-22:00,8.09,11.31
500101005,22:00-24:00,5.86,8.27
500101006,00:00-02:00,2.42,2.42
500101006,02:00-04:00,0.92,1.08
500101006,04:00-06:00,0.5,0.69
500101006,06:00-08:00,3.08,1.49
500101006,08:00-10:00,5.17,6.42
500101006,10:00-12:00,7.42,8.67
500101006,12:00-14:00,9.22,11.62
500101006,14:00-16:00,9.36,7.76
500101006,16:00-18:00,8.33,11.32
500101006,18:00-20:00,11.67,13.89
500101006,20:00-22:00,8.58,6.08
500101006,22:00-24:00,6.09,4.56
500101007,00:00-02:00,2.22,1.6
500101007,02:00-04:00,0.42,0.8
500101007,04:00-06:00,0.93,0.35
500101007,06:00-08:00,2.67,1.25
500101007,08:00-10:00,4.23,3.17
500101007,10:00-12:00,6.12,6.97
500101007,12:00-14:00,9.25,10.68
500101007,14:00-16:00,6.97,7.64
500101007,16:00-18:00,7.58,10.86
500101007,18:00-20:00,10.67,14.65
500101007,20:00-22:00,7.12,6.13
500101007,22:00-24:00,2.97,4.94
500101008,00:00-02:00,1.68,0.83
500101008,02:00-04:00,0.3,0.25
500101008,04:00-06:00,0.58,1.08
500101008,06:00-08:00,3.22,2.75
500101008,08:00-10:00,4.85,5.78
500101008,10:00-12:00,7.0,9.57
500101008,12:00-14:00,7.65,13.6
500101008,14:00-16:00,7.69,6.42
500101008,16:00-18:00,7.42,9.45
500101008,18:00-20:00,8.67,14.84
500101008,20:00-22:00,6.42,5.43
500101008,22:00-24:00,4.35,3.38
500101009,00:00-02:00,1.13,1.17
500101009,02:00-04:00,0.1,0.17
500101009,04:00-06:00,0.19,0.67
500101009,06:00-08:00,2.56,1.08
500101009,08:00-10:00,4.58,10.28
500101009,10:00-12:00,8.58,15.16
500101009,12:00-14:00,13.38,22.15
500101009,14:00-16:00,14.98,13.33
500101009,16:00-18:00,12.58,20.77
500101009,18:00-20:00,14.92,24.25
500101009,20:00-22:00,12.14,8.02
500101009,22:00-24:00,3.67,3.01
500101010,00:00-02:00,2.32,3.0
500101010,02:00-04:00,1.26,0.75
500101010,04:00-06:00,0.5,0.42
500101010,06:00-08:00,3.73,5.17
500101010,08:00-10:00,11.78,17.06
500101010,10:00-12:00,12.17,21.12
500101010,12:00-14:00,19.31,24.05
500101010,14:00-16:00,20.15,18.92
500101010,16:00-18:00,17.25,24.61
500101010,18:00-20:00,20.5,24.62
500101010,20:00-22:00,15.9,9.75
500101010,22:00-24:00,7.5,8.2
500101012,00:00-02:00,1.25,1.13
500101012,02:00-04:00,0.0,0.67
500101012,04:00-06:00,0.42,0.36
500101012,06:00-08:00,2.17,2.24
500101012,08:00-10:00,5.98,5.33
500101012,10:00-12:00,6.84,8.11
500101012,12:00-14:00,8.51,8.67
500101012,14:00-16:00,9.61,9.64
500101012,16:00-18:00,9.19,8.97
500101012,18:00-20:00,7.99,7.86
500101012,20:00-22:00,5.02,5.84
500101012,22:00-24:00,3.68,3.56
500101013,00:00-02:00,1.34,2.42
500101013,02:00-04:00,0.17,0.44
500101013,04:00-06:00,1.08,1.15
500101013,06:00-08:00,3.25,4.21
500101013,08:00-10:00,5.35,7.3
500101013,10:00-12:00,8.93,10.72
500101013,12:00-14:00,9.55,12.26
500101013,14:00-16:00,10.16,11.96
500101013,16:00-18:00,11.55,12.86
500101013,18:00-20:00,9.71,12.18
500101013,20:00-22:00,8.47,8.48
500101013,22:00-24:00,5.55,4.09
500101014,00:00-02:00,4.2,3.85
500101014,02:00-04:00,2.01,1.94
500101014,04:00-06:00,1.71,1.33
500101014,06:00-08:00,3.52,3.67
500101014,08:00-10:00,9.56,10.84
500101014,10:00-12:00,12.34,17.29
500101014,12:00-14:00,14.54,18.63
500101014,14:00-16:00,13.92,13.42
500101014,16:00-18:00,15.11,20.1
500101014,18:00-20:00,18.82,20.38
500101014,20:00-22:00,12.64,11.14
500101014,22:00-24:00,9.0,6.28
500101015,00:00-02:00,0.08,0.67
500101015,02:00-04:00,0.25,0.08
500101015,04:00-06:00,0.17,0.0
500101015,06:00-08:00,1.75,2.0
500101015,08:00-10:00,3.92,3.23
500101015,10:00-12:00,3.83,3.83
500101015,12:00-14:00,3.91,3.99
500101015,14:00-16:00,2.42,3.5
500101015,16:00-18:00,6.0,4.07
500101015,18:00-20:00,3.69,4.26
500101015,20:00-22:00,2.33,3.75
500101015,22:00-24:00,1.92,2.09
500101016,00:00-02:00,0.91,0.86
500101016,02:00-04:00,0.3,0.39
500101016,04:00-06:00,0.48,0.88
500101016,06:00-08:00,1.91,1.89
500101016,08:00-10:00,4.93,6.16
500101016,10:00-12:00,6.13,7.78
500101016,12:00-14:00,8.93,7.97
500101016,14:00-16:00,6.99,6.43
500101016,16:00-18:00,6.75,8.32
500101016,18:00-20:00,7.4,7.67
500101016,20:00-22:00,5.88,4.15
500101016,22:00-24:00,3.29,3.63
500101018,00:00-02:00,0.76,1.69
500101018,02:00-04:00,0.33,0.86
500101018,04:00-06:00,0.75,0.14
500101018,06:00-08:00,3.27,2.59
500101018,08:00-10:00,6.42,6.14
500101018,10:00-12:00,7.42,11.33
500101018,12:00-14:00,9.89,12.19
500101018,14:00-16:00,10.11,12.27
500101018,16:00-18:00,8.46,12.41
500101018,18:00-20:00,9.58,12.49
500101018,20:00-22:00,9.47,9.12
500101018,22:00-24:00,4.45,4.9
500101019,00:00-02:00,1.67,2.99
500101019,02:00-04:00,0.42,0.53
500101019,04:00-06:00,0.83,0.37
500101019,06:00-08:00,5.92,3.0
500101019,08:00-10:00,10.33,10.0
500101019,10:00-12:00,13.14,11.75
500101019,12:00-14:00,15.08,13.3
500101019,14:00-16:00,10.83,10.36
500101019,16:00-18:00,9.73,10.33
500101019,18:00-20:00,11.24,13.29
500101019,20:00-22:00,6.9,9.14
500101019,22:00-24:00,4.44,6.87
500101021,00:00-02:00,1.02,0.92
500101021,02:00-04:00,0.65,0.5
500101021,04:00-06:00,0.79,0.75
500101021,06:00-08:00,2.53,2.08
500101021,08:00-10:00,6.73,6.12
500101021,10:00-12:00,7.28,10.97
500101021,12:00-14:00,10.39,13.42
500101021,14:00-16:00,8.24,10.46
