sno,sna,sarea,latitude,longitude
500101001,YouBike2.0_捷運科技大樓站,大安區,25.02605,121.5436
500101002,YouBike2.0_復興南路二段273號前,大安區,25.02565,121.54357
500101003,YouBike2.0_國北教大實小東側門,大安區,25.02429,121.54124
500101004,YouBike2.0_和平公園東側,大安區,25.02351,121.54282
500101005,YouBike2.0_辛亥復興路口西北側,大安區,25.02153,121.54299
500101006,YouBike2.0_復興南路二段280號前,大安區,25.02429,121.54328
500101007,YouBike2.0_復興南路二段340巷口,大安區,25.02253,121.54326
500101008,YouBike2.0_新生南路三段52號前,大安區,25.02112,121.53407
500101009,YouBike2.0_新生南路三段66號前,大安區,25.01976,121.53384
500101010,YouBike2.0_新生南路三段82號前,大安區,25.01894,121.53361
500101012,YouBike2.0_辛亥路一段30號前,大安區,25.01986,121.52982
500101013,YouBike2.0_和平復興路口西北側,大安區,25.02543,121.54332
500101014,YouBike2.0_羅斯福路三段311號前,大安區,25.01717,121.53202
500101015,YouBike2.0_大安運動中心停車場,大安區,25.02089,121.54697
500101016,YouBike2.0_羅斯福路三段245號前,大安區,25.01927,121.52989
500101018,YouBike2.0_溫州公園,大安區,25.01895,121.53156
500101019,YouBike2.0_和平臥龍街口,大安區,25.024461,121.546705
500101021,YouBike2.0_銘傳國小側門,大安區,25.01385,121.53549
500101022,YouBike2.0_捷運公館站(2號出口),大安區,25.01491,121.53438
500101023,YouBike2.0_第二學生活動中心,大安區,25.01244,121.53661
500101024,YouBike2.0_臺灣科技大學正門,大安區,25.01451,121.54142
500101025,YouBike2.0_臺灣科技大學側門,大安區,25.01295,121.53973
500101026,YouBike2.0_公館公園,大安區,25.01137,121.54062
500101027,YouBike2.0_臺灣科技大學後門,大安區,25.01182,121.54165
500101028,YouBike2.0_臺大醫學院附設癌醫中心,大安區,25.01426,121.54382
500101029,YouBike2.0_臺大環研大樓,大安區,25.01234,121.54503
500101030,YouBike2.0_臺大永齡生醫工程館,大安區,25.0136,121.54656
500101031,YouBike2.0_臺大男七舍前,大安區,25.01537,121.54698
500101032,YouBike2.0_臺大男一舍前,大安區,25.01637,121.54535
500101033,YouBike2.0_臺大男六舍前,大安區,25.01664,121.5452
500101034,YouBike2.0_臺大動物醫院前,大安區,25.01576,121.54291
500101035,YouBike2.0_臺大土木研究大樓前,大安區,25.01787,121.5476
500101036,YouBike2.0_臺大萬才館前,大安區,25.02032,121.54497
500101037,YouBike2.0_臺大國青大樓宿舍前,大安區,25.02076,121.54432
500101038,YouBike2.0_臺大社科院圖書館前,大安區,25.02101,121.54284
500101039,YouBike2.0_臺大法人語言訓練中心前,大安區,25.02104,121.54081
500101040,YouBike2.0_臺大綜合體育館停車場前,大安區,25.0222,121.53626
500101041,YouBike2.0_辛亥新生路口東南側,大安區,25.02218,121.53474
500101042,YouBike2.0_基隆長興路口東側,大安區,25.01727,121.54471
500101091,YouBike2.0_國北教大側門南側,大安區,25.022864,121.546622
500101092,YouBike2.0_和平實小東北側,大安區,25.021641,121.54704
500101093,YouBike2.0_大安區健康服務中心,大安區,25.021469,121.544069
500101094,YouBike2.0_辛亥泰順街口,大安區,25.02193,121.53165
500101095,YouBike2.0_臺北市芳和實驗中學,大安區,25.0189,121.55013
500101097,YouBike2.0_臥龍樂業街口,大安區,25.01856,121.55558
500101098,YouBike2.0_臥龍公園,大安區,25.01623,121.55037
500101099,YouBike2.0_嘉興公園,大安區,25.021,121.55211
500101100,YouBike2.0_捷運麟光站(2號出口),大安區,25.0181,121.55929
500101101,YouBike2.0_捷運六張犁站,大安區,25.02397,121.55266
500101102,YouBike2.0_喬治工商,大安區,25.02705,121.55551
500101103,YouBike2.0_法治公園,大安區,25.02694,121.55325
500101104,YouBike2.0_捷運臺電大樓站(2號出口),大安區,25.02021,121.52942
500101105,YouBike2.0_和平金山路口,大安區,25.02669,121.52529
500101107,YouBike2.0_和平龍泉街口,大安區,25.02638,121.52971
500101108,YouBike2.0_和平泰順街口,大安區,25.02621,121.53171
500101109,YouBike2.0_臺灣師範大學(圖書館),大安區,25.0266,121.52973
500101110,YouBike2.0_捷運古亭站(6號出口),大安區,25.0276,121.52217
500101113,YouBike2.0_臺北市立圖書館(總館),大安區,25.02895,121.5379
500101114,YouBike2.0_新生和平路口東北側,大安區,25.02657,121.53515
500101115,YouBike2.0_建國和平路口西北側,大安區,25.02606,121.53738
500101116,YouBike2.0_金華公園,大安區,25.02984,121.53107
500101118,YouBike2.0_金甌女中,大安區,25.03519,121.5245
500101119,YouBike2.0_金杭公園,大安區,25.03325,121.52436
500101120,YouBike2.0_愛國金山路口,大安區,25.03164,121.52661
500101122,YouBike2.0_敦化南路二段293巷口南側,大安區,25.0237,121.54899
500101123,YouBike2.0_敦化基隆路口,大安區,25.02215,121.54839
500101124,YouBike2.0_安和路二段181巷口,大安區,25.02721,121.54988
