sno,假日0400初始車輛數
500101001,8
500101002,12
500101003,21
500101004,8
500101005,12
500101006,9
500101007,8
500101008,6
500101009,4
500101010,4
500101012,6
500101013,6
500101014,4
500101015,8
500101016,3
500101018,8
500101019,18
500101021,2
500101022,17
500101023,30
500101024,3
500101025,7
500101026,14
500101027,31
500101028,6
500101029,1
500101030,17
500101031,18
500101032,59
500101033,32
500101034,4
500101035,2
500101036,4
500101037,12
500101038,2
500101039,2
500101040,8
500101041,12
500101042,14
500101091,24
500101092,10
500101093,3
500101094,14
500101095,34
500101097,43
500101098,12
500101099,33
500101100,29
500101101,18
500101102,12
500101103,26
500101104,6
500101105,6
500101107,22
500101108,11
500101109,18
500101110,24
500101113,45
500101114,18
500101115,21
500101116,30
500101118,8
500101119,13
500101120,18
500101122,7
500101123,16
500101124,9
500101125,12
500101126,15
500101127,28
500101128,22
500101129,20
500101130,28
500101131,11
500101132,6
500101133,15
500101134,4
500101135,15
500101136,8
500101137,16
500101138,7
500101139,25
500101140,6
500101141,11
500101142,12
500101143,5
500101144,23
500101145,8
500101146,10
500101147,4
500101148,29
500101149,12
500101150,20
500101151,12
500101152,14
500101153,7
500101154,10
500101155,3
500101156,18
500101157,15
500101158,16
500101159,11
500101160,4
500101161,9
500101163,8
500101165,13
500101166,32
500101167,17
500101168,4
500101169,32
500101170,28
500101171,16
500101172,30
500101173,6
500101174,17
500101175,7
500101176,12
500101177,8
500101179,16
500101180,8
500101181,14
500101182,6
500101184,3
500101185,27
500101186,16
500101187,12
500101188,12
500101189,8
500101190,20
500101191,2
500101192,18
500101193,44
500101194,5
500101196,11
500101197,2
500101198,5
500101199,18
500101200,10
500101201,9
500101202,6
500101203,7
500101204,8
500101205,10
500101206,25
500101207,16
500101208,12
500101209,2
500101210,11
500101211,14
500101212,7
500101213,8
500101214,2
500101215,11
500101216,14
500101217,16
500101218,13
500101219,9
500101221,8
500101222,7
500101223,6
500101224,13
500101225,11
500101226,13
500101227,13
500101228,8
500101229,14
500101230,13
500101231,18
500101232,4
500101233,6
500101234,13
500101235,9
500101236,11
500101237,5
500101238,5
500101239,12
500101240,20
500101241,8
500101242,9
500101243,13
500101244,11
500101245,12
500101246,16
500101247,5
500101248,18
500101250,9
500101251,11
500101252,7
500101253,9
500101254,15
500101255,14
500101256,10
500101257,16
500101258,10
500101259,9
500101260,17
500101261,13
500101262,11
500101264,3
500101265,12
500101266,4
500101267,10
500101268,6
500101269,5
500101270,9
500101271,9
500101272,9
500101273,4
500101274,48
500101276,5
500103001,26
500103002,19
500103003,12
500103004,24
500103005,29
500103006,9
500103007,9
500103008,15
500103009,8
500103010,23
500103011,9
500103012,13
500103013,12
500103019,11
500103020,28
500103021,21
500103022,6
500103023,10
500103024,17
500103025,8
500103026,1
500103027,6
500103028,25
500103029,7
500103030,14
500103031,15
500103032,4
500103033,1
500103034,25
500103035,28
500103036,3
500103037,10
500103038,12
500103039,16
500103040,21
500103041,16
500103042,6
500103043,4
500103044,23
500103045,17
500103046,5
500103047,5
500103048,6
500103049,5
500103050,20
500103051,3
500103052,3
500103053,2
500103054,17
500103055,11
500103056,7
500103057,5
500103058,30
500103059,15
500103060,5
500103061,12
500103062,9
500103063,8
500103064,13
500103065,10
500103066,8
500103068,18
500103069,7
500103070,12
500103071,4
500103072,5
500103073,13
500103074,12
500103075,9
500103076,9
500103077,5
500103078,10
500103079,4
500103080,12
500103081,10
500103082,4
500103083,20
500103084,5
500103085,11
500103086,6
500103087,6
500103088,4
500103089,7
500104001,9
500104002,10
500104003,27
500104004,55
500104005,6
500104006,7
500104007,16
500104008,6
500104009,24
500104010,6
500104012,8
500104013,10
500104014,29
500104015,7
500104016,8
500104018,5
500104019,14
500104020,6
500104021,30
500104022,14
500104023,25
500104024,23
500104025,10
500104026,12
500104027,5
500104028,5
500104029,5
500104030,12
500104031,6
500104032,17
500104033,17
500104034,5
500104035,18
500104036,12
500104037,4
500104038,7
500104039,20
500104040,6
500104041,5
500104042,8
500104043,7
500104044,10
500104045,6
500104046,4
500104047,12
500104048,8
500104050,9
500104051,19
500104052,8
500104053,9
500104054,20
500104055,3
500104056,10
500104057,6
500104058,15
500104059,9
500104060,19
500104061,8
500104062,9
500104063,6
500104064,16
500104065,6
500104066,8
500104067,9
500104068,6
500104069,12
500104070,7
500104071,13
500104072,30
500104073,20
500104074,22
500104075,13
500104076,7
500104077,7
500104078,12
500104079,8
500104080,7
500104081,15
500104082,8
500104083,9
500104084,6
500104085,20
500104086,6
500104087,13
500104088,19
500104089,14
500104090,27
500104091,9
500104092,7
500104094,7
500104095,15
500104096,9
500104097,5
500104098,5
500104099,4
500104100,5
500104101,9
500104102,7
500104103,9
500104104,4
500104105,9
500104106,9
500104107,8
500104108,5
500104109,6
500104110,8
500104111,9
500104112,5
500104113,9
500104114,6
500104115,6
500104116,13
500104117,14
500104118,8
500104119,8
500104120,6
500104121,8
500104122,5
500104123,12
500104124,8
500104125,8
500104126,16
500104128,8
500104129,7
500104130,12
500104131,9
500104132,14
500104133,11
500104134,10
500104135,14
500104136,10
500104137,7
500104138,6
500104139,9
500104140,10
500104141,10
500104142,10
500104143,14
500104144,8
500104145,10
500104146,6
500104147,16
500104148,7
500104149,8
500104150,13
500104151,13
500104152,7
500104153,13
500104154,5
500105001,26
500105002,5
500105003,11
500105004,24
500105005,4
500105006,8
500105007,10
500105008,19
500105009,16
500105010,22
500105011,17
500105012,24
500105013,17
500105014,7
500105015,8
500105016,27
500105017,6
500105018,21
500105019,13
500105020,8
500105021,6
500105022,11
500105023,3
500105024,21
500105025,18
500105026,8
500105027,29
500105028,12
500105029,17
500105030,7
500105031,15
500105032,15
500105033,6
500105034,6
500105035,12
500105036,11
500105037,5
500105038,10
500105039,7
500105040,8
500105041,8
500105042,7
500105043,5
500105044,6
500105045,7
500105046,8
500105047,9
500105048,5
500105049,15
500105050,7
500105051,3
500105053,15
500105054,9
500105055,21
500105056,7
500105057,4
500105058,5
500105059,8
500105060,8
500105061,20
500105063,5
500105064,9
500105066,5
500105067,22
500105068,5
500105069,20
500105070,63
500105071,6
500105072,12
500105073,17
500105074,6
500105075,8
500105076,8
500105077,10
500105079,10
500105080,16
500105081,20
500105082,9
500105083,10
500105084,15
500105085,7
500105086,10
500105087,8
500105088,8
500105089,20
500105090,4
500105091,9
500105092,14
500105093,2
500105094,6
500105095,7
500105096,4
500105097,5
500105098,13
500105100,8
500105101,4
500105102,12
500105103,11
500105104,7
500105106,15
500105107,19
500105108,10
500105109,9
500105110,8
500105111,23
500105112,8
500105113,16
500105114,6
500105115,10
500105116,5
500105117,6
500105118,20
500105119,8
500105120,6
500105121,11
500105122,7
500105123,12
500105124,6
500105125,8
500105126,21
500106001,5
500106003,1
500106004,3
500106005,6
500106006,12
500106007,15
500106008,16
500106009,42
500106010,33
500106011,10
500106012,9
500106013,12
500106014,44
500106015,4
500106016,5
500106017,9
500106018,38
500106019,8
500106020,7
500106021,24
500106022,3
500106023,3
500106025,31
500106026,15
500106027,15
500106028,8
500106029,14
500106030,6
500106031,10
500106037,24
500106038,14
500106039,8
500106040,7
500106041,7
500106042,6
500106043,4
500106044,15
500106046,2
500106047,3
500106048,12
500106049,2
500106050,16
500106051,7
500106052,11
500106053,14
500106054,5
500106055,15
500106056,5
500106057,12
500106058,13
500106059,7
500106060,4
500106061,5
500106062,4
500106063,3
500106064,18
500106065,3
500106066,17
500106067,26
500106068,19
500106069,7
500106070,4
500106071,7
500106072,3
500106073,2
500106074,12
500106075,22
500106077,18
500106078,11
500106079,6
500106080,2
500106083,7
500106084,2
500106085,6
500106086,6
500106087,10
500106088,13
500106089,7
500106090,15
500106091,3
500106092,10
500106093,8
500106094,10
500106095,15
500106096,16
500106097,14
500106098,10
500106099,4
500106100,4
500106101,10
500106102,3
500106103,3
500106104,3
500106105,3
500106106,7
500106107,5
500106108,7
500106109,4
500106110,4
500106111,2
500106112,8
500106113,10
500106114,12
500106115,11
500106116,13
500106117,23
500106118,5
500106119,15
500106120,20
500106121,18
500106122,9
500106123,11
500106124,10
500106125,7
500106126,6
500106127,6
500106128,21
500106129,17
500106130,10
500106131,5
500106132,8
500106133,6
500106134,13
500106135,2
500106136,7
500106137,4
500106138,7
500106142,2
500106143,12
500106144,2
500106145,7
500106146,5
500106147,6
500106149,10
500106150,16
500107001,17
500107002,3
500107003,6
500107004,9
500107005,8
500107006,9
500107007,16
500107008,8
500107009,14
500107010,28
500107011,8
500107012,9
500107013,14
500107014,7
500107015,29
500107016,36
500107017,13
500107018,5
500107019,6
500107020,16
500107021,22
500107022,11
500107023,50
500107024,6
500107025,12
500107026,5
500107027,8
500107028,43
500107029,20
500107030,14
500107031,16
500107032,15
500107033,9
500107034,11
500107035,10
500107036,26
500107037,11
500107038,2
500107039,4
500107040,19
500107041,12
500107042,2
500107043,0
500107044,10
500107045,4
500107046,11
500107047,8
500107048,29
500107049,24
500107050,35
500107051,9
500107052,12
500107053,10
500107054,12
500107055,6
500107056,10
500107058,13
500107059,2
500107060,4
500107061,13
500107062,17
500107063,3
500107064,22
500107065,1
500107066,9
500107067,4
500107068,7
500107069,4
500107070,2
500107071,11
500107072,15
500107075,8
500107076,17
500107078,7
500107079,12
500107080,8
500107081,7
500107082,10
500107083,24
500107084,8
500107085,6
500107086,3
500107087,16
500107088,4
500107089,4
500107090,11
500107091,10
500107092,10
500107093,13
500107095,12
500107096,7
500107097,3
500107098,3
500107099,7
500107100,5
500107101,5
500107102,4
500107103,5
500107104,6
500107105,0
500107106,10
500107107,10
500107108,7
500107109,10
500107110,8
500107111,21
500107112,14
500107113,4
500107114,16
500107115,3
500107116,22
500107117,10
500107118,8
500107119,10
500107120,4
500107121,8
500107122,4
500107123,9
500107124,6
500107125,11
500107126,4
500107127,8
500107128,9
500107129,4
500107130,14
500107131,5
500107132,6
500107133,6
500107134,10
500107135,3
500107136,14
500107137,2
500107138,10
500107139,39
500107140,1
500107141,10
500107142,7
500107143,2
500107144,12
500107145,13
500107146,18
500107147,7
500107149,8
500107150,4
500107151,10
500107152,12
500107153,7
500107154,8
500107155,6
500107156,8
500107157,8
500107158,13
500107159,7
500107160,13
500107161,8
500107162,12
500107163,3
500107164,4
500107165,7
500107166,17
500107167,8
500107168,7
500107169,13
500107170,20
500107171,9
500107172,21
500107173,10
500107174,4
500107175,6
500107176,7
500107177,10
500107178,14
500107179,12
500107180,7
500107181,10
500107182,17
500107183,4
500107184,11
500107185,11
500107186,2
500107187,8
500107188,17
500107189,5
500107190,6
500107191,12
500107192,14
500107193,12
500107194,12
500107195,8
500107196,11
500107197,6
500107198,16
500107199,8
500107200,5
500107201,11
500107202,8
500107203,9
500107204,9
500107205,3
500107206,7
500108001,20
500108002,7
500108003,8
500108004,7
500108005,24
500108006,14
500108007,16
500108008,28
500108009,11
500108010,11
500108011,25
500108012,8
500108013,11
500108014,4
500108015,6
500108016,8
500108018,8
500108019,10
500108020,5
500108021,8
500108022,9
500108023,8
500108024,14
500108025,4
500108026,23
500108027,30
500108028,11
500108029,12
500108030,8
500108031,8
500108032,6
500108033,31
500108035,13
500108036,9
500108037,6
500108038,16
500108039,8
500108040,10
500108041,4
500108043,13
500108044,13
500108045,19
500108046,22
500108047,12
500108048,13
500108049,41
500108050,3
500108051,22
500108052,11
500108054,16
500108055,14
500108056,13
500108057,6
500108058,12
500108059,14
500108060,5
500108061,8
500108062,8
500108063,5
500108064,4
500108065,9
500108066,9
500108067,8
500108068,24
500108069,7
500108070,21
500108071,18
500108072,11
500108073,4
500108074,9
500108075,5
500108076,8
500108077,12
500108078,15
500108079,9
500108081,10
500108082,4
500108083,7
500108084,4
500108085,8
500108086,13
500108087,10
500108088,18
500108089,9
500108090,6
500108091,10
500108092,4
500108093,5
500108094,4
500108095,15
500108096,8
500108097,11
500108098,4
500108099,16
500108100,6
500108102,6
500108103,3
500108104,8
500108105,12
500108106,11
500108107,11
