sno,平日0600初始車輛數
500101001,14
500101002,10
500101003,15
500101004,6
500101005,10
500101006,10
500101007,7
500101008,7
500101009,5
500101010,7
500101012,3
500101013,6
500101014,5
500101015,6
500101016,4
500101018,7
500101019,17
500101021,2
500101022,35
500101023,22
500101024,6
500101025,13
500101026,15
500101027,18
500101028,10
500101029,10
500101030,21
500101031,17
500101032,57
500101033,30
500101034,7
500101035,7
500101036,4
500101037,9
500101038,4
500101039,7
500101040,9
500101041,22
500101042,14
500101091,22
500101092,10
500101093,5
500101094,14
500101095,27
500101097,41
500101098,14
500101099,35
500101100,26
500101101,26
500101102,15
500101103,27
500101104,9
500101105,8
500101107,18
500101108,11
500101109,10
500101110,24
500101113,52
500101114,16
500101115,12
500101116,28
500101118,6
500101119,8
500101120,10
500101122,9
500101123,11
500101124,8
500101125,15
500101126,14
500101127,24
500101128,32
500101129,21
500101130,22
500101131,8
500101132,9
500101133,18
500101134,9
500101135,8
500101136,8
500101137,26
500101138,6
500101139,28
500101140,3
500101141,14
500101142,14
500101143,6
500101144,46
500101145,5
500101146,14
500101147,8
500101148,25
500101149,20
500101150,22
500101151,14
500101152,20
500101153,12
500101154,13
500101155,7
500101156,33
500101157,10
500101158,14
500101159,17
500101160,7
500101161,11
500101163,10
500101165,11
500101166,37
500101167,26
500101168,4
500101169,31
500101170,24
500101171,8
500101172,31
500101173,5
500101174,16
500101175,7
500101176,11
500101177,9
500101179,18
500101180,7
500101181,56
500101182,9
500101184,4
500101185,28
500101186,16
500101187,12
500101188,12
500101189,4
500101190,16
500101191,5
500101192,16
500101193,40
500101194,4
500101196,12
500101197,7
500101198,6
500101199,19
500101200,10
500101201,5
500101202,4
500101203,6
500101204,5
500101205,6
500101206,28
500101207,17
500101208,9
500101209,8
500101210,7
500101211,11
500101212,8
500101213,10
500101214,2
500101215,9
500101216,15
500101217,16
500101218,15
500101219,9
500101221,13
500101222,6
500101223,6
500101224,8
500101225,10
500101226,17
500101227,16
500101228,5
500101229,10
500101230,11
500101231,17
500101232,7
500101233,11
500101234,11
500101235,9
500101236,13
500101237,5
500101238,4
500101239,10
500101240,28
500101241,10
500101242,9
500101243,12
500101244,9
500101245,14
500101246,19
500101247,16
500101248,16
500101250,9
500101251,16
500101252,4
500101253,7
500101254,9
500101255,13
500101256,6
500101257,13
500101258,10
500101259,9
500101260,13
500101261,13
500101262,9
500101264,3
500101265,10
500101266,8
500101267,10
500101268,6
500101269,8
500101270,7
500101271,9
500101272,8
500101273,7
500101274,42
500101276,9
500103001,25
500103002,24
500103003,9
500103004,19
500103005,24
