band,total_trucks,seed,poe5_7,sl5_7,day_cost,night_cost,sc
0.4/0.6,52,20260603,0.535,0.8809,2469599.1,54968.0,2.4426
0.4/0.6,52,20260604,0.5343,0.8785,2481543.8,59673.8,2.42
0.4/0.6,52,20260605,0.5346,0.8796,2488551.7,46622.9,2.4287
0.4/0.6,78,20260603,0.5884,0.9136,4205188.3,60369.4,1.4993
0.4/0.6,78,20260604,0.5927,0.9133,4179865.7,58800.1,1.5082
0.4/0.6,78,20260605,0.5902,0.9133,4210346.5,55943.4,1.4985
0.4/0.6,104,20260603,0.6006,0.9168,5720403.0,55523.9,1.1111
0.4/0.6,104,20260604,0.6008,0.9177,5728677.1,55280.5,1.1107
0.4/0.6,104,20260605,0.6018,0.9182,5720789.2,56957.6,1.1125
0.4/0.6,130,20260603,0.605,0.9177,7070488.1,55616.3,0.9014
0.4/0.6,130,20260604,0.6036,0.9178,7082696.2,55334.1,0.9001
0.4/0.6,130,20260605,0.6042,0.919,7090164.1,56024.6,0.9002
0.4/0.6,156,20260603,0.6089,0.9203,8392902.7,53427.7,0.7627
0.4/0.6,156,20260604,0.6071,0.9187,8371728.0,56923.2,0.763
0.4/0.6,156,20260605,0.604,0.918,8367902.2,57115.6,0.7628
0.35/0.65,52,20260603,0.5301,0.8783,2466162.6,56613.2,2.4369
0.35/0.65,52,20260604,0.5324,0.8788,2465124.7,54617.9,2.4414
0.35/0.65,52,20260605,0.531,0.8782,2465589.8,61882.4,2.4321
0.35/0.65,78,20260603,0.5887,0.9118,4144606.9,58583.6,1.5186
0.35/0.65,78,20260604,0.5916,0.9125,4172011.1,54674.4,1.5112
0.35/0.65,78,20260605,0.5901,0.9117,4150137.0,57164.9,1.5169
0.35/0.65,104,20260603,0.6009,0.9169,5673741.1,51861.1,1.121
0.35/0.65,104,20260604,0.598,0.9156,5673918.5,58695.7,1.1181
0.35/0.65,104,20260605,0.5983,0.9159,5661753.2,54910.6,1.1215
0.35/0.65,130,20260603,0.5997,0.9167,7001890.8,56720.0,0.9091
0.35/0.65,130,20260604,0.6003,0.9158,7001765.5,55001.0,0.9085
0.35/0.65,130,20260605,0.6038,0.9177,7006901.2,56341.1,0.9095
0.35/0.65,156,20260603,0.6022,0.9164,8256898.4,54204.9,0.7719
0.35/0.65,156,20260604,0.6019,0.9176,8280725.1,54628.2,0.7706
0.35/0.65,156,20260605,0.6065,0.9188,8283608.0,57175.6,0.7711
0.3/0.7,52,20260603,0.5277,0.8764,2436225.5,55942.8,2.4616
0.3/0.7,52,20260604,0.5226,0.8763,2420127.9,52108.2,2.4813
0.3/0.7,52,20260605,0.524,0.8774,2420533.0,52907.9,2.4831
0.3/0.7,78,20260603,0.5799,0.9092,4112775.1,57561.6,1.5261
0.3/0.7,78,20260604,0.5809,0.9092,4101988.8,59724.6,1.5293
0.3/0.7,78,20260605,0.5831,0.911,4124979.4,57309.3,1.5247
0.3/0.7,104,20260603,0.5924,0.9143,5634152.2,54997.2,1.1249
0.3/0.7,104,20260604,0.5924,0.9139,5615031.9,57276.9,1.1278
0.3/0.7,104,20260605,0.5892,0.9134,5615964.2,57219.6,1.127
0.3/0.7,130,20260603,0.5967,0.916,6971017.4,53647.2,0.9128
0.3/0.7,130,20260604,0.5945,0.9153,6946062.9,55371.6,0.9151
0.3/0.7,130,20260605,0.5929,0.9152,6945120.6,51416.6,0.9157
0.3/0.7,156,20260603,0.5986,0.9157,8206715.0,56804.7,0.7757
0.3/0.7,156,20260604,0.5946,0.9142,8208188.7,56489.8,0.7743
0.3/0.7,156,20260605,0.5971,0.916,8228530.0,51394.1,0.7744
0.25/0.75,52,20260603,0.507,0.8708,2346330.1,54455.2,2.539
0.25/0.75,52,20260604,0.509,0.869,2363733.6,54577.9,2.5155
0.25/0.75,52,20260605,0.505,0.8717,2343376.6,57510.7,2.5414
0.25/0.75,78,20260603,0.5656,0.9065,4000714.7,50587.8,1.5663
0.25/0.75,78,20260604,0.5655,0.9071,3995188.4,53742.2,1.5682
0.25/0.75,78,20260605,0.5658,0.9052,3979590.4,51923.6,1.5717
0.25/0.75,104,20260603,0.5838,0.9135,5567442.7,55284.8,1.1373
0.25/0.75,104,20260604,0.581,0.9126,5556337.8,56655.4,1.1381
0.25/0.75,104,20260605,0.5799,0.9123,5558207.4,49321.9,1.1388
0.25/0.75,130,20260603,0.5869,0.9146,6918436.3,58614.5,0.9176
0.25/0.75,130,20260604,0.5864,0.9135,6899200.2,51286.3,0.92
0.25/0.75,130,20260605,0.5871,0.914,6912611.6,57111.3,0.9179
0.25/0.75,156,20260603,0.591,0.915,8189928.5,52447.7,0.7771
0.25/0.75,156,20260604,0.5849,0.9133,8158666.0,47743.3,0.779
0.25/0.75,156,20260605,0.5871,0.9142,8193134.4,51134.3,0.7762
